2
KEY,WORDS,MULTIPLICITY
"CapturesAreImpossible","CapturesAreImpossible" ),1
"Hare2","Hare2" (,4
"Andada_ai","Andada_ai" ),1
counters,counters in,376
counters,counters from,62
counters,counters .,101
counters,counters wins,72
counters,counters are,106
counters,counters and,21
counters,counters per,27
counters,counters when,5
counters,counters beginning,1
counters,counters have,11
counters,counters or,7
counters,counters --COMMA--,135
counters,counters ),1
counters,counters as,6
counters,counters were,5
counters,counters can,9
counters,counters cannot,12
counters,counters for,3
counters,counters begin,1
counters,counters followed,3
counters,counters unless,1
counters,counters fall,3
counters,counters on,22
counters,counters may,10
counters,counters there,2
counters,counters become,1
counters,counters however,1
counters,counters left,12
counters,counters ;,3
counters,counters that,4
counters,counters belonging,1
counters,counters into,10
counters,counters also,1
counters,counters lands,1
counters,counters (,11
counters,counters which,2
counters,counters after,3
counters,counters to,6
counters,counters distributes,3
counters,counters then,2
counters,counters each,5
counters,counters remaining,11
counters,counters they,9
counters,counters fills,1
counters,counters originally,1
counters,counters alternating,1
counters,counters equal,2
counters,counters more,3
counters,counters behind,1
counters,counters by,1
counters,counters than,2
counters,counters leaves,1
counters,counters aside,2
counters,counters captures,2
counters,counters removes,1
counters,counters moving,1
counters,counters if,2
counters,counters but,1
counters,counters captured,4
counters,counters is,14
counters,counters four,1
counters,counters placed,1
counters,counters available,1
counters,counters gains,4
counters,counters ownership,1
counters,counters at,4
counters,counters holds,1
counters,counters given,1
counters,counters arranges,1
counters,counters accumulate,1
counters,counters the,1
counters,counters land,1
counters,counters unevenly,1
counters,counters it,2
counters,counters other,2
counters,counters places,4
counters,counters set,1
counters,counters less,1
counters,counters max,3
counters,counters of,3
counters,counters go,1
counters,counters with,1
coord:"S10",coord:"S10" ),1
BCE,BCE .,4
BCE,BCE ),1
BCE,BCE --COMMA--,2
BCE,BCE until,1
BCE,BCE in,1
%,% (,21
&,& 3,1
&,& Poly-Y,1
&,& Puzzles",1
&,& Sons,1
&,& Mate,1
&,& 25,1
&,& 24,1
&,& 23,1
&,& 22,1
&,& 21,1
&,& 20,1
&,& 19,1
&,& 18,1
&,& 16,1
&,& 15,1
&,& 14,1
&,& 13,1
&,& 12,1
&,& 11,1
&,& Miguel,1
&,& size:,28
McCarthy's,McCarthy's Revenge,1
',' is,1
(,( game,951
(,( players,959
(,( equipment,979
(,( board,2284
(,( merge,154
(,( shift,469
(,( square,493
(,( wedge,108
(,( piece,3707
(,( or,1992
(,( rules,2123
(,( start,964
(,( place,4976
(,( difference,683
(,( expand,689
(,( sites,8944
(,( play,1423
(,( forEach,1852
(,( end,1007
(,( "NoMoves",51
(,( if,6163
(,( <,728
(,( count,3019
(,( result,1313
(,( option,514
(,( item,2694
(,( metadata,949
(,( info,949
(,( description,942
(,( aliases,332
(,( source,1089
(,( version,949
(,( classification,949
(,( credit,934
(,( graphics,891
(,( show,671
(,( ai,602
(,( define,4279
(,( "HopCapture",50
(,( remember,158
(,( site,1044
(,( rectangle,504
(,( union,576
(,( is,5221
(,( do,587
(,( "RememberSiteWithPossibleCapture",8
(,( then,1852
(,( and,2600
(,( !,638
(,( values,188
(,( =,2726
(,( last,2364
(,( remove,869
(,( forget,136
(,( no,728
(,( origin,576
(,( region,129
(,( colour,2368
(,( move,3128
(,( between,1450
(,( who,1702
(,( apply,788
(,( to,7543
(,( can,341
(,( hop,34
(,( from,3851
(,( moveAgain,856
(,( rotate,150
(,( "StepToEmpty",89
(,( "HopMove",39
(,( regions,1804
(,( hand,419
(,( handSite,2202
(,( phase,769
(,( not,1616
(,( "HandEmpty",177
(,( nextPhase,474
(,( "SameTurn",70
(,( stackType,376
(,( "AlquerqueBoard",40
(,( "HopSequenceCapture",36
(,( "HopSequenceCaptureAgain",27
(,( makeFaces,1
(,( rulesets,168
(,( ruleset,367
(,( Described,167
(,( Suggested,190
(,( useFor,635
(,( Observed,267
(,( add,193
(,( scale,86
(,( \"To,1
(,( the,21
(,( centrePoint,170
(,( Incomplete,78
(,( priority,70
(,( 1845,1
(,( player,808
(,( Gedved,3
(,( directions,812
(,( concentric,60
(,( intersection,442
(,( step,24
(,( where,276
(,( addScore,79
(,( -,442
(,( +,437
(,( score,338
(,( byScore,142
(,( keep,3
(,( poly,32
(,( max,382
(,( id,2042
(,( what,550
(,( "LetADiscOnTheFromLocation",1
(,( "NoSites",33
(,( all,280
(,( author,219
(,( publisher,71
(,( used,39
(,( date,210
(,( Thy,2
(,( Vendsyssel,2
(,( Two,12
(,( state,446
(,( set,2005
(,( ahead,293
(,( \"general\",2
(,( \"soliders\",1
(,( splitCrossings,7
(,( regular,15
(,( graph,73
(,( coord,174
(,( also,1
(,( row,30
(,( min,24
(,( results,19
(,( "HopDiagonalCapture",2
(,( "HopOrthogonalCapture",6
(,( "RemoveAllTigersWithNoMove",2
(,( "MinDistanceWithCorners",1
(,( >,613
(,( exact,152
(,( "BigHop",4
(,( five,7
(,( fifteen,1
(,( range,94
(,( \"Tiger,1
(,( \"king\",2
(,( Three,3
(,( e,11
(,( Four,3
(,( One,6
(,( s,14
(,( "SitesWithPossibleCaptureInPreviousTurn",10
(,( value,450
(,( "DidNotCaptured",4
(,( "BottomEmptySites",2
(,( "HenAdded",1
(,( "ShouldCapturedButMoved",9
(,( "HasNotCaptured",11
(,( "RememberSiteWithPossibleMultiCapture",3
(,( "HopCustomCapture",4
(,( "StepCustomToEmpty",4
(,( "HopCustomSequenceCapture",8
(,( "NumCapturedPiecesIsOdd",2
(,( "Hop",37
(,( king,22
(,( if	,7
(,( intervene,4
(,( custodial,71
(,( Hunt,3
(,( black,5
(,( white,6
(,( "WolfBeyondSheepRow",1
(,( wolf,1
(,( trackSite,353
(,( fromTo,613
(,( track,1633
(,( dice,158
(,( roll,184
(,( mover,518
(,( Scholarly,190
(,( Reconstructed,89
(,( 1700–1050,1
(,( 2018:,1
(,( Crist,1
(,( Pusch,1
(,( Finkel,1
(,( mapEntry,782
(,( map,409
(,( pair,3227
(,( face,113
(,( "ThrowValue",274
(,( "ValueYellowDice",1
(,( "Sohatara",2
(,( pips,189
(,( "SiteToMoveOnTrack",238
(,( "Move",70
(,( "PlayingSohatara",2
(,( "SpecialThrows",6
(,( "DieNotUsed",90
(,( next,91
(,( topLevel,58
(,( "NextSiteFrom",163
(,( "NotEnemyOrOnlyOne",41
(,( "IfEnemyBlotIt",3
(,( "MoveAPiece",28
(,( size,203
(,( "NumPiece",6
(,( "MoveAPieceIf",13
(,( "NotEmptyAndNotOffTheBoard",7
(,( "CanEscape",21
(,( "RemoveAPiece",25
(,( firstMoveOnTrack,6
(,( "Bar",25
(,( "AllPieceEscaped",17
(,( one,20
(,( "NextSiteFromDist6",4
(,( hole,17
(,( "IsSpecialThrow",16
(,( "EnterAPiece",3
(,( "AllPiecesInLastQuadrant",2
(,( "UseDie",2
(,( "PieceMove",31
(,( "Die1",55
(,( "Die2",56
(,( "Die3",16
(,( "Triple",2
(,( "HasASixThreeOrTwo",1
(,( "CountPieceTypeInStack",2
(,( level,316
(,( "TrackMove",9
(,( *,262
(,( var,367
(,( "MoveOppositeDice",4
(,( "DoubleDieValue",4
(,( I,6
(,( "PieceStacked",8
(,( "SiteToSelect",14
(,( "Unstack",2
(,( was,12
(,( "PieceFullStacked",10
(,( "PieceHalfStacked",11
(,( "BearOff",4
(,( "UnstackHalf",7
(,( "UnstackFull",12
(,( regionSite,52
(,( "NoGoBack",1
(,( trigger,29
(,( "GoBack",2
(,( "NotAnEnemy",2
(,( "InTheStartingPosition",2
(,( "Not14PiecesInThePosition",1
(,( "PieceInOpponentSide",1
(,( "SetScoreOf",12
(,( \"foreign\",1
(,( once,3
(,( /,89
(,( "LowerValue",1
(,( "DoubleValue",3
(,( first,7
(,( "NextSiteFromDistTripleDice",2
(,( "UpdateCounterTriplePlay",1
(,( "TwoDiceEqualLastLower",1
(,( "CanStillPlayDouble",1
(,( "NextSiteFromDistDouble",2
(,( "UpdateCounterDoublePlay",2
(,( "CanStillLowerDie",1
(,( "NextSiteFromDistLower",2
(,( "PieceAlreadyEntered",2
(,( "PieceCanEnterOnlyIfNoPieceOnArc",2
(,( "MoveOn",17
(,( "RememberSelectedTrack",8
(,( match,6
(,( games,6
(,( subgame,12
(,( matchScore,142
(,( a,11
(,( "StartPos",3
(,( "NextSiteFromDistDoubleDice",2
(,( "AllPieceInOpponentSide",3
(,( "PieceInOpponentQuadrantOrNoPieceInTheBoard",3
(,( "NumSitesInFirstQuadrantWithMoreThan2Pieces",1
(,( n,1
(,( "EnemySite",4
(,( "RemoveEnemyPiece",8
(,( "Movement",2
(,( "MoveOnTrack",11
(,( "SiteAfterBridge",2
(,( "BlankDie1",2
(,( "BlankDie2",2
(,( "StripedDie",1
(,( "AllPiecesInFinalQuadrant",9
(,( "EnterPieces",5
(,( "ThrowAgainAndPlay",4
(,( "StopTurnIfNoMoveAgain",2
(,( "HasToThrow",1
(,( "IfMoveAgain",1
(,( "ThrowMove",2
(,( with,5
(,( "SiteToMove",6
(,( "SetHyenaPlayer",1
(,( "HyenaPlayer",5
(,( "SiteHyenaToMove",2
(,( and	,3
(,( four,4
(,( "PieceUnstacked",4
(,( "Stack",3
(,( "SpecialThrow",3
(,( "StartPoint",2
(,( "ThrowValueEndTrack",1
(,( spot,1
(,( "SpecialEnterPieces",2
(,( "DieValue",4
(,( "SpecialMove",2
(,( "PlayMove",2
(,( "MotherCheckerP1Pinned",1
(,( "MotherCheckerP2Pinned",1
(,( that,1
(,( "SpecialWin",2
(,( "Throw",20
(,( "TwoConsecutiveSpaces",6
(,( "Ankh,15
(,( "PieceOnAnkhWasetFromWaterHasToMove",1
(,( "PieceOnAnkhWasetHasMoved",2
(,( "PieceOnWater",1
(,( "NoPieceOnAnkhWaset",1
(,( "PieceOnAnkhWasetHasToMove",1
(,( "StartingThrow",1
(,( "MovePieceForward",1
(,( "MovePieceBackward",1
(,( swap,28
(,( "KendallMoves",2
(,( "PieceMovement",2
(,( "KendallRules",16
(,( "SevenPiecesOnBoard",8
(,( "MoveInFront7Pieces",8
(,( "NoStartingThrow",8
(,( "BearOffPiece",8
(,( "BearOffPieceOnWater",8
(,( "FivePiecesOnBoard",8
(,( "MoveInFront5Pieces",8
(,( "TrapRule",8
(,( "BearOffPieceIfNoPieceInHomeRow",8
(,( "BearOffPieceOnWaterIfNoPieceInHomeRow",8
(,( "ThrowOfOne",8
(,( "SetStartingThrow",8
(,( "NotAFriendOrNotOnSymbols",1
(,( "HasEnteredAPiece",4
(,( "SiteToEnter",3
(,( "CurrentThrow",2
(,( "SiteToMoveOnTrackPiccione",7
(,( "HasAnAdditionalThrow",8
(,( "ResetAdditionalThrow",7
(,( "AutoCaptureLastPiece",3
(,( "RestOfThrow",4
(,( "SaveAdditionalThrow",2
(,( "HasASaveAdditionalThrow",2
(,( "GetAdditionalThrow",2
(,( "NewTurn",14
(,( "CanEnterAPiece",1
(,( "HasEnteredAPieceOrNewTurn",1
(,( "CanMoveEnteredPiece",1
(,( "MoveApieceAfterThrowing",2
(,( "NextSite",53
(,( "NotGroupOfThree",2
(,( "AllPieceInBottomRow",1
(,( "EmptyOrEnemyNotOnSafePlacesAndNotTwoInARow",2
(,( "NumEnemyPiecesOnTopRow",1
(,( "NumEnemyPiecesOnMiddleRow",1
(,( "NumEnemyPiecesOnBottomRow",1
(,( good,2
(,( counting,8
(,( \"double,1
(,( "FiveOnThreeFinal",1
(,( "ThreeOnFiveFinal",1
(,( "SevenFiveThreeFinal",1
(,( "FifteenFinal",1
(,( "BarSite",4
(,( "EmptySiteIfOneSpecialRegion",2
(,( "EmptyOrFriednIfNotSpecialRegion",2
(,( "OneEnemyPiece",3
(,( "CaptureEnemyPiece",3
(,( "BarEmpty",1
(,( "SiteToEnterCapturePiece",1
(,( "HasToThrowAgain",1
(,( "ReplayThrow",3
(,( "GetAnotherThrow",1
(,( "NoPieceInTheBoard",1
(,( "OppositeStartPos",7
(,( column,85
(,( "AllPieceInCentre",1
(,( "CounterPlayer",2
(,( (,32
(,( "HuckeSite",31
(,( "UpdateScore",10
(,( "CanMove2PiecesToHucke",2
(,( "CanMove2PiecesFromHucke",1
(,( they,1
(,( Hucke,1
(,( "NotReplayMove",2
(,( "ReplayConsequences",5
(,( "LowerDie",1
(,( "Double1",1
(,( "Double1Move",1
(,( "DoubleOfAnother",1
(,( "DoubleOfAnotherMove",1
(,( "ConsecutiveNumber",1
(,( "ConsecutiveNumberMove",1
(,( "NonConsecutiveNumber",1
(,( \"twelve,1
(,( \"game,2
(,( \"dice\",1
(,( generic,1
(,( "InTheGoal",8
(,( "HopSequence",20
(,( "GoalFilledby",2
(,( like,6
(,( called,4
(,( never,1
(,( capture,1
(,( board_game,7
(,( "FromIsOnTheRegionToFill",5
(,( "ToIsOnTheRegionToFill",5
(,( hex,107
(,( "Dim",112
(,( b,1
(,( standard,1
(,( "PiecesInRegion",4
(,( "RandomPlacement",1
(,( "MajorPieceHopCondition",2
(,( "MinorPiece",3
(,( "MinorPieceHopCondition",1
(,( "Capture",17
(,( P1,1
(,( "MoveStep",2
(,( "MiddleOfBoardPlusExtra",8
(,( "MoveHop",4
(,( "NumberOfPiecesInRegion",4
(,( "NumberOfPiecesInRegionByState",2
(,( "CanPieceBeReleasedByState",4
(,( "PiecesInRegionByState",3
(,( "ReleaseCandidatesByPlayer",2
(,( "ReleaseCandidatesByPlayerAndState",2
(,( "PieceCore",4
(,( "MajorPiece",2
(,( "ReleaseCandidatesByState",1
(,( "ReleaseZone",3
(,( "ReleaseCandidates",2
(,( "IsExchangePossible",1
(,( note,20
(,( vote,2
(,( except,5
(,( as,8
(,( squares,2
(,( "MinorPieceGraphics",2
(,( "MajorPieceGraphics",2
(,( "PlayedHalfThrow",3
(,( "ActivatedPiece",20
(,( "ThrowToActivate",2
(,( "ActivePiece",11
(,( "NumPieceNotInEnemyHome",2
(,( "PiecesOwnedOnEnemyHomedBy",2
(,( "NextSitePrev",4
(,( "Centre",10
(,( prev,7
(,( "TakeBall",2
(,( located,1
(,( "NotProtectedBy",3
(,( "Frozen",1
(,( "ProtectedBy",1
(,( avoidStoredState,1
(,( "RabbitReachedGoal",2
(,( "NoRabbit",2
(,( 1,20
(,( 2,43
(,( 8,7
(,( "Grace",2
(,( respective,1
(,( thirteenth,1
(,( "Bange",2
(,( "Dust",3
(,( bara,1
(,( bange,1
(,( arba,1
(,( t'laite,1
(,( doi,1
(,( dust,1
(,( shaka,1
(,( "StepForwardToEmpty",5
(,( "MovedPair",3
(,( "NotDoubleValue",1
(,( "HasDouble",1
(,( "PreviousPipsUsed",1
(,( "StorePreviousPipsUsed",3
(,( "StoreMovePair",3
(,( "AllPiecesOnCentre",4
(,( friend,1
(,( leaps,1
(,( there,1
(,( sanctuaries,1
(,( abs,2
(,( "MoveForwards",1
(,( "CubeInHand",1
(,( "EmptySitesInHome",1
(,( "PieceIsOnTheBoard",1
(,( "MoveAPieceOf",2
(,( "SameValue",1
(,( "ValueCloseToOne",1
(,( "GoalReached",1
(,( Einstein,1
(,( 2005,2
(,( God,1
(,( ein,1
(,( moveagain,1
(,( "HopCounter",40
(,( Standard,3
(,( Tournament,2
(,( "StartingPoint",5
(,( hiddenImage,2
(,( "WhereHyena",6
(,( "Center",9
(,( "LevelHyena",1
(,( "HyenaOnTrack",1
(,( spiral,4
(,( "NotThrow0",5
(,( "MoveHyena",2
(,( "HyenaPhaseDone",1
(,( "HopTheWater",4
(,( index/value,1
(,( "SiteToMoveOnTrackCW",3
(,( "SelectCW",3
(,( "SiteToMoveOnTrackCCW",3
(,( "SelectCCW",3
(,( "MadeACompleteCircuit",6
(,( \"Punch\",1
(,( doors,1
(,( https://github,1
(,( "FirstSiteBackward",3
(,( "TabulatedValues",5
(,( "CentralSite",3
(,( "HyenaAllowToMoveOutFromCentral",1
(,( "ThrowOf1",6
(,( "Untabulate",5
(,( "Tabulate",3
(,( "InitSite",5
(,( "AllowToMoveOutFromCentral",1
(,( "AllowToUseTabulatedToGoCentral",1
(,( "ThrowOf2",1
(,( "NoStick",1
(,( "WinningCommonCondition",1
(,( 2-stack,3
(,( 1-stack,3
(,( 3-stack,2
(,( "SaheValue",2
(,( "HandTeam",6
(,( "SiteToMoveOnSelectedTrack",3
(,( "ReachEastDoor",1
(,( "Goal",4
(,( Sri,2
(,( Deccan,6
(,( Sixteen-handed,1
(,( "HasCapturedAnEnemy",1
(,( "CanThrowAgain",1
(,( i,26
(,( "SetValueAlly",2
(,( "ValueAlly",2
(,( "PawnPiece",1
(,( "RightCentralAlly",1
(,( "EnterToBoard",5
(,( "NothingOn",4
(,( "NothingOnTop",2
(,( layer,6
(,( "EdgeInCommon",5
(,( "NoEdgeBetweenCells",14
(,( "SizePath",6
(,( "LevelBetweenGroundAndDestinationPlusOne",1
(,( "EmptyOrNeutralPiece",2
(,( in,4
(,( but,8
(,( "AllReachedCenter",1
(,( array,8
(,( "Die4",1
(,( "Die5",1
(,( "Die6",1
(,( "AllDiceValues",6
(,( "NumberOfPossibleMove",3
(,( "MovePiece",3
(,( "NumDiceFour",3
(,( "NumDiceOne",3
(,( "NumDiceTwo",3
(,( "NumDiceThree",3
(,( "NumDiceFive",3
(,( "NumDiceSix",3
(,( "Palace",1
(,( \"Influence\",1
(,( \"Pair\",1
(,( \"Failure\",1
(,( "Mecca",10
(,( "Start",3
(,( "Sig",10
(,( "SigMove",12
(,( "EnterMinaret",2
(,( "Minaret",6
(,( "ExitMinaret",2
(,( "AfterStart",1
(,( "Ground",4
(,( "Step1",7
(,( "Step2",6
(,( "Step3",6
(,( "Cairo",5
(,( "Medina",5
(,( "GroundAway",2
(,( "CaptureMove",24
(,( "ExitStart",1
(,( "EnterToMinaret",2
(,( "ExitFromMinaret",2
(,( "GoToStep1",2
(,( "GoToStep2",2
(,( "GoToStep3",2
(,( "GoToCairo",1
(,( "GoToMedina",1
(,( "GoToMecca",1
(,( El,3
(,( "GoToStep1Djinn",1
(,( "ExtraThrowValue",6
(,( "AllPiecesInMecca",2
(,( "EndTrack",4
(,( "GhoulaOnTrack",4
(,( "KillingSite",2
(,( "GhoulaPhaseDone",4
(,( Houmt,4
(,( "BeginningExtensionTrack",2
(,( "Kaaba",2
(,( "ExternalSite",2
(,( "MoveGhoula",2
(,( "WhereGhoula",8
(,( "Central",2
(,( "Throw1",2
(,( "WhereBankor",7
(,( "LevelBankor",3
(,( "BankorOnTrack",1
(,( "StateBankor",2
(,( "MoveBankor",1
(,( "BankorPhaseDone",1
(,( "Sir",3
(,( "SirMove",6
(,( "StartFather",1
(,( "StartMother",1
(,( "StartAngel",1
(,( "PrepareLastStep",1
(,( "LastSirMove",3
(,( Race,2
(,( "GoToStep3Angel",1
(,( Cairo,2
(,( known,1
(,( "StopThrow",1
(,( "Direction",2
(,( "Slide",12
(,( "MoveAgainIsJumpEnemy",3
(,( "Throw4",1
(,( "AllPiecesInCenter",1
(,( "Tayam",1
(,( "Sonal",2
(,( "ThreePiecesOnFinalPoint",1
(,( "HandOpponent",4
(,( "Same",12
(,( "SameSection",1
(,( "SectionDistance",1
(,( either,1
(,( sow,281
(,( Zanzibar,5
(,( mancalaBoard,163
(,( "Sow",14
(,( "PiecesOwnedBy",174
(,( "LeftMost",4
(,( "NextHoleFrom",127
(,( "OppositePit",277
(,( "OppositeOuterPit",147
(,( seven,2
(,( "SitesSowed",1
(,( "NextSiteExist",12
(,( "SowAgainMove",2
(,( Damara,3
(,( only,2
(,( Nama,2
(,( "Columns",46
(,( "OppositeOuterPitOuter",9
(,( "OppositePitOuter",10
(,( "InnerToOuter",1
(,( "PlayFromLastHole",25
(,( which,5
(,( Lali,2
(,( "InnerPitsWithPossibleCapture",3
(,( "InnerPit",4
(,( "NextHole",122
(,( "EmptyOuterRow",2
(,( "FirstEmptyHole",6
(,( Additional,8
(,( "NumCapture",6
(,( "HaveToMakeExtraCapture",2
(,( "NoPiece",19
(,( "HaveHolesWithMoreThanOneCounter",2
(,( Luena,2
(,( "PlayFrom",2
(,( Quioco,2
(,( "OppositePitInner",4
(,( "OppositeOuterPitInner",4
(,( "RightMost",5
(,( "FirstSiteToSow",1
(,( this,2
(,( "NoPieceNext",1
(,( "RightMostHole",4
(,( "SecondToRightInnerRow",1
(,( "AllSitesNoMoreThanOne",4
(,( "NoSiteWith2Seeds",1
(,( Benguela,2
(,( "LeftMostCounters",2
(,( "OnlyOneInInner",1
(,( "SitesWithMaxCounter",1
(,( "HoleOnLeft",2
(,( "EqualOrLessThanLeftHole",1
(,( "MaximumOfTwoHolesInInner",1
(,( "OneCounterInEachHole",1
(,( even,3
(,( Baia,1
(,( "PreviousHole",2
(,( Reentered,3
(,( "OuterMostRowWithPieces",2
(,( "OppositeMiddlePit",9
(,( "OneSingePieceInTheOuter",1
(,( "OneSingePieceInTheMiddle",1
(,( Achalla,2
(,( storage,41
(,( "NoPieceOnBoard",74
(,( "LastHole",8
(,( "LastPitSowed",1
(,( "HasCaptured",6
(,( "StoreLastPitSowed",4
(,( "OneHomeEmpty",1
(,( "NumCapturedPieces",6
(,( "LeftMostEmpty",15
(,( Massawa,1
(,( "OwnedHoles",19
(,( "OnlyPiecesInMarked",2
(,( "SitesMarkedBy",5
(,( "NoEmptyHoleRow",2
(,( "RemmemberOwnedHoles",19
(,( "PossibleSowFrom",2
(,( "NoMoreCapturePossible",1
(,( "RightMostEmpty",12
(,( "RemmemberNextOwnedHoles",1
(,( "SowedHoles",1
(,( "RemmemberSowedHoles",1
(,( bank,1
(,( "CapturedPiece",17
(,( after,2
(,( "OnlyOneCounterInEachHole",1
(,( "NoCounters",5
(,( "AllCountersInMarkedHoles",1
(,( "KalahCount",2
(,( \"tu-tong,1
(,( usually,5
(,( thus,5
(,( ára,1
(,( "CapturedHole",1
(,( "CapturedByOpponent",1
(,( "NoFreePiece",1
(,( number,2
(,( "AllRowsEmpty",1
(,( "Column",1
(,( "OnlyOnFilledHoles",1
(,( "OneRowIsEmpty",10
(,( "ForgetValue",1
(,( "NoOwnedHoles",2
(,( "GoalNumCapturedCounters",1
(,( "NotMoverStore",1
(,( "EnemySites",1
(,( pass,3
(,( St,2
(,( "WestHole",18
(,( "EastHole",18
(,( "PlayableSites",22
(,( "WestHoleExist",5
(,( "EastHoleExist",5
(,( Adegrat,1
(,( "NoPiecesInP1Side",2
(,( Ansaba,1
(,( Oromo,1
(,( "NoLegalMoves",2
(,( "AllPossibleHolesFilled",2
(,( "CaptureEnoughSeed",1
(,( Nobility,1
(,( "NoFreeSeed",1
(,( "NoPiecesInPlayerSide",4
(,( "OneSingleCounterPerPlayer",1
(,( "EightPiecesOnBoard",1
(,( "OneOrLessPieceOnBoard",1
(,( "RemmemberOwnedHolesRandom",1
(,( "NumPiecesOnBoard",2
(,( "OneSeedOnBoard",1
(,( "DifferenceCapturedStone",1
(,( "NoOwnedHoleWithMoreThanOneSeedExceptHogon",2
(,( "IsOlderPlayer",1
(,( "NoOwnedHoleWithMoreThanOneSeed",2
(,( "PiecesHandOwnedBy",7
(,( "APlayerCanNotMove",6
(,( Gabradarre,1
(,( by,6
(,( Somaliland,1
(,( "CorrespondingHolesHaveSeeds",1
(,( "EmptyBoard",2
(,( "OneSeedInEachHole",1
(,( "NoSeedInHome",1
(,( 6,2
(,( Bedouin,1
(,( central,1
(,( Suez,1
(,( Turkey,3
(,( Nigeria,1
(,( "Stores",3
(,( "NextNextHole",3
(,( "WasInStore",1
(,( "SowingEndInMyStore",1
(,( "LastCounterInTheStore",1
(,( "StoreLastHoleSowed",1
(,( "Tuz",6
(,( "CaptureFromTuzOf",2
(,( \"The,1
(,( "PiecesCaptured",3
(,( "OneRowEmpty",1
(,( "CaptureAsInOware",2
(,( chess,1
(,( "AdjacentNotEmptySites",1
(,( tile,25
(,( The,3
(,( Buginese,2
(,( surround,19
(,( "AllCowsInBottom",1
(,( "NumPiecesBetweenDiagonalStep",3
(,( "ToEmptyAndBlocked",1
(,( "NotBlockedOrNotMaxSlide",1
(,( "QueenMove",9
(,( "ToEmptyAndNotBlocked",1
(,( green,4
(,( blue,2
(,( \"the,1
(,( including,5
(,( improved,1
(,( 4,1
(,( Spanish,1
(,( "IsEmpty",2
(,( kewai,1
(,( putahi,1
(,( enclose,11
(,( points,1
(,( both,1
(,( II,1
(,( meta,33
(,( 30,1
(,( counter,36
(,( "SurroundedOf",2
(,( "SurroundedOver",2
(,( \"Camel,1
(,( "Nbors",15
(,( France,1
(,( ISBN,1
(,( lt,11
(,( "IsPlayingPhase",12
(,( "BlackVC",7
(,( "WhiteVC",7
(,( "HexCorners",2
(,( "LimpCorners",2
